Repositorio,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
neovim/neovim,2014-01-31T13:39:22Z,2025-08-20T22:52:53Z,Vim Script,0,30,0,0,0.0
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-20T23:23:27Z,TypeScript,0,30,0,0,0.0
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-20T21:58:48Z,JavaScript,0,0,0,0,0.0
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2025-08-20T22:16:39Z,,0,1,0,0,0.0
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2025-08-20T19:03:14Z,Vue,0,30,0,0,0.0
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-20T20:21:46Z,TypeScript,0,30,0,0,0.0
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-20T21:53:48Z,Python,0,30,49,3417,98.59
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2025-08-20T20:38:08Z,,98,0,29,23,44.23
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-20T23:25:52Z,TypeScript,11473,30,2078,11613,84.82
supabase/supabase,2019-10-12T05:56:49Z,2025-08-20T23:05:57Z,TypeScript,12924,22,235,4420,94.95
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-08-20T22:56:48Z,JavaScript,987,12,113,367,76.46
openai/whisper,2022-09-16T20:02:54Z,2025-08-20T23:02:26Z,Python,119,13,0,0,0.0
nvm-sh/nvm,2010-04-15T17:47:47Z,2025-08-20T19:40:29Z,Shell,727,30,316,1998,86.34
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2025-08-20T23:10:16Z,Python,1192,30,2513,3663,59.31
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2025-08-20T23:22:27Z,TypeScript,888,30,660,2885,81.38
2dust/v2rayN,2019-07-30T03:47:24Z,2025-08-20T22:40:27Z,C#,267,30,7,6012,99.88
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2025-08-20T23:15:37Z,C++,5490,30,0,0,0.0
bitcoin/bitcoin,2010-12-19T15:16:43Z,2025-08-20T23:13:14Z,C++,0,30,0,0,0.0
florinpop17/app-ideas,2019-02-25T18:36:56Z,2025-08-20T14:44:14Z,,0,0,0,0,0.0
django/django,2012-04-28T02:47:18Z,2025-08-20T21:19:42Z,Python,0,0,0,0,0.0
sveltejs/svelte,2016-11-20T18:13:05Z,2025-08-20T21:23:15Z,JavaScript,0,30,0,0,0.0
gin-gonic/gin,2014-06-16T23:57:25Z,2025-08-20T22:24:19Z,Go,0,27,0,0,0.0
opencv/opencv,2012-07-19T09:40:17Z,2025-08-20T21:41:29Z,C++,0,30,0,0,0.0
gohugoio/hugo,2013-07-04T15:26:26Z,2025-08-20T23:19:27Z,Go,0,30,0,0,0.0
mermaid-js/mermaid,2014-11-01T23:52:32Z,2025-08-20T22:16:33Z,TypeScript,0,30,0,0,0.0
gothinkster/realworld,2016-02-26T20:49:53Z,2025-08-20T17:40:55Z,TypeScript,0,0,39,503,92.8
animate-css/animate.css,2011-10-12T10:07:38Z,2025-08-20T15:29:01Z,CSS,314,22,39,841,95.57
laravel/laravel,2011-06-08T03:06:08Z,2025-08-20T22:55:27Z,Blade,1607,30,0,0,0.0
macrozheng/mall,2018-04-04T01:11:44Z,2025-08-20T14:46:20Z,Java,1,3,10,487,97.99
home-assistant/core,2013-09-17T07:29:48Z,2025-08-20T21:09:06Z,Python,75697,30,2376,60076,96.2
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2025-08-20T23:21:15Z,HTML,0,0,0,0,0.0
tonsky/FiraCode,2014-11-11T19:32:38Z,2025-08-20T19:39:24Z,Clojure,136,29,410,954,69.94
oven-sh/bun,2021-04-14T00:48:17Z,2025-08-20T23:16:16Z,Zig,5964,30,4776,8301,63.48
3b1b/manim,2015-03-22T18:50:58Z,2025-08-20T23:20:19Z,Python,636,13,451,761,62.79
spring-projects/spring-boot,2012-10-19T15:02:57Z,2025-08-20T23:07:09Z,Java,42,30,555,38721,98.59
doocs/advanced-java,2018-10-06T11:38:30Z,2025-08-20T21:35:23Z,Java,84,1,0,0,0.0
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,2025-08-20T22:50:43Z,Python,0,0,0,0,0.0
x1xhlol/system-prompts-and-models-of-ai-tools,2025-03-05T16:38:29Z,2025-08-20T23:29:02Z,,0,0,0,54,100.0
tensorflow/models,2016-02-05T01:15:20Z,2025-08-20T22:03:32Z,Python,2338,30,1076,6235,85.28
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,2025-08-20T23:05:16Z,,449,0,11,174,94.05
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,2025-08-20T20:47:44Z,HTML,374,0,7,141,95.27
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,2025-08-20T23:00:37Z,,175,0,27,34,55.74
nomic-ai/gpt4all,2023-03-27T18:49:32Z,2025-08-20T19:34:02Z,C++,934,30,698,1487,68.05
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2025-08-20T22:26:11Z,Java,62,0,20,42,67.74
microsoft/playwright,2019-11-15T18:32:42Z,2025-08-20T23:01:57Z,TypeScript,15060,30,831,15471,94.9
netdata/netdata,2013-06-17T18:39:10Z,2025-08-20T23:00:15Z,C,10918,30,167,7946,97.94
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2025-08-20T20:48:41Z,JavaScript,210,30,3752,15999,81.0
fighting41love/funNLP,2018-08-21T11:20:39Z,2025-08-20T15:56:58Z,Python,14,0,34,0,0.0
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,2025-08-20T22:20:17Z,,0,0,0,0,0.0
syncthing/syncthing,2013-11-26T09:48:21Z,2025-08-20T23:22:26Z,Go,0,30,0,0,0.0
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,2025-08-20T22:48:48Z,JavaScript,0,0,0,0,0.0
vitejs/vite,2020-04-21T05:03:57Z,2025-08-20T23:18:41Z,TypeScript,0,30,0,0,0.0
typicode/json-server,2013-11-27T13:21:13Z,2025-08-20T18:51:02Z,JavaScript,0,30,0,0,0.0
unionlabs/union,2023-05-16T22:33:39Z,2025-08-20T23:14:31Z,Rust,0,30,0,0,0.0
ruanyf/weekly,2018-10-13T12:36:07Z,2025-08-20T22:54:15Z,,0,0,0,0,0.0
immich-app/immich,2022-02-03T15:56:27Z,2025-08-20T23:29:17Z,TypeScript,7134,30,574,5700,90.85
elastic/elasticsearch,2010-02-08T13:20:56Z,2025-08-20T23:11:40Z,Java,80478,30,4337,36267,89.32
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,2025-08-20T20:49:47Z,TypeScript,1866,30,489,1555,76.08
louislam/uptime-kuma,2021-07-03T01:02:42Z,2025-08-20T22:02:40Z,JavaScript,1315,30,713,3451,82.88
coder/code-server,2019-02-27T16:50:41Z,2025-08-20T21:18:07Z,TypeScript,1576,30,134,3569,96.38
vuejs/awesome-vue,2015-10-20T00:16:14Z,2025-08-20T22:53:47Z,,3557,0,38,190,83.33
junegunn/fzf,2013-10-23T16:04:23Z,2025-08-20T23:30:22Z,Go,594,30,235,2779,92.2
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,2025-08-20T22:34:20Z,,419,0,71,103,59.2
hacksider/Deep-Live-Cam,2023-09-24T13:19:31Z,2025-08-20T21:46:26Z,Python,85,8,69,917,93.0
nestjs/nest,2017-02-04T20:12:52Z,2025-08-20T23:00:36Z,TypeScript,7406,30,29,5644,99.49
microsoft/markitdown,2024-11-13T19:56:40Z,2025-08-20T22:59:08Z,Python,0,14,0,0,0.0
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2025-08-20T16:59:06Z,Python,0,16,0,0,0.0
CompVis/stable-diffusion,2022-08-10T14:36:44Z,2025-08-20T20:05:44Z,Jupyter Notebook,0,0,0,0,0.0
clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2025-08-20T23:00:34Z,TypeScript,0,30,0,0,0.0
abi/screenshot-to-code,2023-11-14T17:53:32Z,2025-08-20T18:48:03Z,Python,0,0,0,0,0.0
google-gemini/gemini-cli,2025-04-17T17:04:31Z,2025-08-20T23:29:50Z,TypeScript,0,30,0,0,0.0
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2025-08-20T23:02:39Z,,0,1,1,147,99.32
redis/redis,2009-03-21T22:32:25Z,2025-08-20T23:00:17Z,C,4155,30,2152,4628,68.26
moby/moby,2013-01-18T18:10:57Z,2025-08-20T23:25:24Z,Go,21373,30,3196,19927,86.18
pallets/flask,2010-04-06T11:11:59Z,2025-08-20T21:12:40Z,Python,1604,30,1,2690,99.96
ventoy/Ventoy,2020-03-10T15:19:19Z,2025-08-20T22:20:43Z,C,269,30,859,1670,66.03
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,2025-08-20T22:02:44Z,,234,0,0,0,0.0
grafana/grafana,2013-12-11T15:59:56Z,2025-08-20T21:12:37Z,TypeScript,56710,30,3476,37470,91.51
enaqx/awesome-react,2014-08-06T05:31:44Z,2025-08-20T19:33:18Z,,777,0,4,109,96.46
hakimel/reveal.js,2011-06-07T18:54:22Z,2025-08-20T18:43:01Z,JavaScript,406,30,773,1690,68.62
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,2025-08-20T22:10:29Z,Python,866,0,0,93,100.0
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,2025-08-20T23:23:02Z,Python,541,5,0,0,0.0
strapi/strapi,2015-09-30T15:34:48Z,2025-08-20T22:42:51Z,TypeScript,0,30,0,0,0.0
binary-husky/gpt_academic,2023-03-20T09:05:13Z,2025-08-20T18:40:14Z,Python,0,30,0,0,0.0
swiftlang/swift,2015-10-23T21:15:07Z,2025-08-20T21:27:03Z,C++,0,30,0,0,0.0
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,2025-08-20T23:04:11Z,C++,0,30,0,0,0.0
protocolbuffers/protobuf,2014-08-26T15:52:15Z,2025-08-20T20:56:03Z,C++,0,30,0,0,0.0
python/cpython,2017-02-10T19:23:51Z,2025-08-20T22:41:34Z,Python,0,0,0,0,0.0
base/node,2023-02-01T13:55:02Z,2025-08-20T20:47:12Z,Go,0,30,0,0,0.0
browser-use/browser-use,2024-10-31T16:00:56Z,2025-08-20T23:24:17Z,Python,0,30,0,0,0.0
sherlock-project/sherlock,2018-12-24T14:30:48Z,2025-08-20T20:48:48Z,Python,0,1,0,0,0.0
ocornut/imgui,2014-07-21T14:29:47Z,2025-08-20T22:33:52Z,C++,398,30,1010,5524,84.54
apache/superset,2015-07-21T18:55:34Z,2025-08-20T23:17:49Z,TypeScript,14821,30,464,11163,96.01
expressjs/express,2009-06-26T18:56:01Z,2025-08-20T21:21:11Z,JavaScript,459,30,105,3885,97.37
openai/openai-cookbook,2022-03-11T02:08:53Z,2025-08-20T22:59:15Z,Jupyter Notebook,862,0,41,557,93.14
Alvin9999/new-pac,2016-03-23T08:43:36Z,2025-08-20T23:25:30Z,Python,0,0,436,1333,75.35
punkpeye/awesome-mcp-servers,2024-11-30T04:49:10Z,2025-08-20T23:29:09Z,,920,0,28,74,72.55
PKUFlyingPig/cs-self-learning,2021-10-20T13:43:42Z,2025-08-20T22:22:52Z,HTML,295,5,109,104,48.83
chartjs/Chart.js,2013-03-17T23:56:36Z,2025-08-20T23:23:26Z,JavaScript,3002,30,461,6804,93.65
rasbt/LLMs-from-scratch,2023-07-23T18:15:57Z,2025-08-20T23:26:18Z,Jupyter Notebook,388,0,4,168,97.67
obsproject/obs-studio,2013-10-01T02:40:31Z,2025-08-20T23:13:55Z,C,5208,30,674,3931,85.36
caddyserver/caddy,2015-01-13T19:45:03Z,2025-08-20T23:27:54Z,Go,0,30,0,0,0.0
localsend/localsend,2022-12-16T00:46:07Z,2025-08-20T21:53:05Z,Dart,0,24,0,0,0.0
ansible/ansible,2012-03-06T14:58:02Z,2025-08-20T21:21:21Z,Python,0,30,0,0,0.0
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,2025-08-20T22:55:42Z,,0,0,0,0,0.0
Eugeny/tabby,2016-12-23T09:06:10Z,2025-08-20T21:47:51Z,TypeScript,0,30,0,0,0.0
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,2025-08-20T18:04:05Z,JavaScript,0,0,0,0,0.0
webpack/webpack,2012-03-10T10:08:14Z,2025-08-20T22:15:22Z,JavaScript,0,30,0,0,0.0
astral-sh/uv,2023-10-02T20:24:11Z,2025-08-20T23:30:36Z,Rust,0,30,0,0,0.0
nektos/act,2019-01-02T19:53:43Z,2025-08-20T22:16:11Z,Go,0,30,220,1061,82.83
modelcontextprotocol/servers,2024-11-19T01:10:17Z,2025-08-20T23:18:29Z,TypeScript,868,19,176,457,72.2
danielmiessler/SecLists,2012-02-19T01:30:18Z,2025-08-20T21:26:38Z,PHP,679,28,7,291,97.65
AppFlowy-IO/AppFlowy,2021-06-16T12:56:48Z,2025-08-20T23:28:43Z,Dart,3886,30,975,2644,73.06
xtekky/gpt4free,2023-03-29T17:00:43Z,2025-08-20T22:59:20Z,Python,813,30,7,1853,99.62
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,2025-08-20T18:28:55Z,,327,0,17,233,93.2
lobehub/lobe-chat,2023-05-21T07:19:12Z,2025-08-20T23:25:29Z,TypeScript,2504,30,888,3438,79.47
binhnguyennus/awesome-scalability,2017-12-27T03:46:40Z,2025-08-20T22:30:25Z,,36,0,0,0,0.0
Stirling-Tools/Stirling-PDF,2023-01-27T18:22:42Z,2025-08-20T19:46:32Z,Java,2213,30,316,1077,77.32
apache/echarts,2013-04-03T03:18:59Z,2025-08-20T22:59:01Z,TypeScript,1445,30,1859,17223,90.26
kdn251/interviews,2017-02-14T18:19:25Z,2025-08-20T21:44:22Z,Java,41,0,0,0,0.0
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,2025-08-20T22:00:49Z,,0,1,0,0,0.0
zed-industries/zed,2021-02-20T03:01:06Z,2025-08-20T23:11:47Z,Rust,0,30,0,0,0.0
jesseduffield/lazygit,2018-05-19T00:53:06Z,2025-08-20T22:38:21Z,Go,0,30,0,0,0.0
kelseyhightower/nocode,2018-02-06T23:54:00Z,2025-08-20T15:21:11Z,Dockerfile,0,1,0,0,0.0
twitter/the-algorithm,2023-03-27T14:57:57Z,2025-08-20T18:22:52Z,Scala,0,0,0,0,0.0
keras-team/keras,2015-03-28T00:35:42Z,2025-08-20T22:39:21Z,Python,0,30,0,0,0.0
juliangarnier/anime,2016-03-13T21:37:45Z,2025-08-20T22:40:08Z,JavaScript,0,22,0,0,0.0
scikit-learn/scikit-learn,2010-08-17T09:43:38Z,2025-08-20T23:01:57Z,Python,0,30,0,0,0.0
bradtraversy/design-resources-for-developers,2020-05-06T14:40:35Z,2025-08-20T19:49:44Z,,943,0,0,104,100.0
infiniflow/ragflow,2023-12-12T06:13:13Z,2025-08-20T22:49:41Z,TypeScript,3724,30,2663,2289,46.22
TheAlgorithms/Java,2016-07-16T10:21:02Z,2025-08-20T22:18:04Z,Java,2005,0,8,1100,99.28
labmlai/annotated_deep_learning_paper_implementations,2020-08-25T02:29:34Z,2025-08-20T22:19:21Z,Python,101,0,24,113,82.48
resume/resume.github.com,2011-02-06T13:39:55Z,2025-08-20T20:24:24Z,JavaScript,84,0,56,66,54.1
chrislgarry/Apollo-11,2014-04-03T15:45:02Z,2025-08-20T18:34:36Z,Assembly,342,0,56,326,85.34
All-Hands-AI/OpenHands,2024-03-13T03:33:31Z,2025-08-20T22:59:25Z,Python,5115,30,334,2941,89.8
socketio/socket.io,2010-03-11T18:24:48Z,2025-08-20T22:03:06Z,TypeScript,432,30,193,3422,94.66
prakhar1989/awesome-courses,2014-11-15T18:36:49Z,2025-08-20T23:05:37Z,,187,0,41,39,48.75
sindresorhus/awesome-nodejs,2014-07-11T13:35:34Z,2025-08-20T23:10:48Z,,415,0,2,102,98.08
FuelLabs/sway,2021-01-19T20:54:33Z,2025-08-20T13:25:31Z,Rust,0,30,0,0,0.0
facebook/docusaurus,2017-06-20T16:13:53Z,2025-08-20T22:16:57Z,TypeScript,0,30,0,0,0.0
reduxjs/redux,2015-05-29T23:53:15Z,2025-08-20T21:59:59Z,TypeScript,0,30,0,0,0.0
dair-ai/Prompt-Engineering-Guide,2022-12-16T16:04:50Z,2025-08-20T23:28:47Z,MDX,0,0,0,0,0.0
lodash/lodash,2012-04-07T04:11:46Z,2025-08-20T18:15:58Z,JavaScript,0,2,0,0,0.0
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2025-08-20T23:30:28Z,Python,0,0,0,0,0.0
atom/atom,2012-01-20T18:18:21Z,2025-08-20T22:28:22Z,JavaScript,0,30,0,0,0.0
h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,2025-08-20T15:53:10Z,Nunjucks,0,0,0,0,0.0
xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,2025-08-20T08:51:29Z,,0,0,0,0,0.0
